root_id,processed_labels
720575940599457990,['T4b; FBbt_00003733']
720575940599763910,['T5b; FBbt_00003738']
720575940600623020,['Dm3; Distal medullary amacrine neuron 3; Fbbt_00003770']
720575940602720940,['JO-CA_3; Catmaid ID: 13250976']
720575940602747360,"['adult fan-shaped body horizontal delta neuron J; FB1, 2, 3, 4D5FB4, 5; hDeltaJ; hΔJ; FBbt_00052286', 'DM2_dorsal']"
720575940602790610,['T5c; FBbt_00003739']
720575940602857440,"['Tm8; Transmedullary neuron 8; FBbt_00003796', 'Tm8 (putative, Fischbach 1989)']"
720575940602864300,['DNp']
720575940603067360,['Lobula Columnar neuron 13; LC13; Lcn13; FBbt_00100485']
720575940603077600,"['lobula columnar neuron LC12; (e.g. Otsuna and Ito J Comp Neurol 2014, Wu et al. eLife 2016)']"
720575940603094700,"['ER3a_ad', 'ER3a']"
720575940603183840,"['BM_InOm', 'eye_MSB_FW_62']"
720575940603186790,"['VLPl1', 'IVLP-VLP']"
720575940603250860,"['Re-classified as Type-4 BPN', 'Type 1 BPN (Bolt Protocerebral Neuron), (Bidaye et al., 2020)', 'new_clone_4']"
720575940603268780,['Tm2: Transmedullary neuron 2; FBbt_00003790']
720575940603295200,['Mi8; Medullary intrinsic neuron 8; FBbt_00003783']
720575940603365980,['T5a']
720575940603372460,['MeTu1']
720575940603390380,"['T5c', 'T5']"
720575940603439020,['VPNp&v1_ventral']
720575940603449010,['Retinula axon; R1-6']
720575940603495340,['Lobula Columnar neuron 13; LC13; Lcn13; FBbt_00100485']
720575940603557920,"['transmedullary neuron Tm9, Cholinergic, FBbt_00003797']"
720575940603580960,['DNp']
720575940603616800,"['unclassified_IN_FW_223', 'AMMC-B1']"
720575940603727840,['VLPp&l1_posterior']
720575940603747360,"['PFNa, [FBbt_00111396]', 'DM4_medial']"
720575940603765280,"['IPC, insulin-producing cell', 'median neurosecretory cell', 'IPCb', 'pars intercerebralis', 'PI', 'Insulin producing neuron, IPC']"
720575940603767980,['T3; FBbt_00003730']
720575940603797420,['T4c; FBbt_00003734']
720575940603814060,['ascending_FW_117']
720575940603817900,"['LPLC1, lobula plate-lobula columnar neuron 1, FBbt_00111762']"
720575940603851180,"['Lamina monopolar cell 4, L4, FBbt_00003722 (Fischbach and Dittrich, 1989)']"
720575940603860000,['LC10']
720575940603882720,['Kenyon_cell gamma']
720575940603893280,['Tm2: Transmedullary neuron 2; FBbt_00003790']
720575940603911340,"['ORN_VM5v; Or98a; FBbt_00067062', 'antennal lobe olfactory and thermo/hygrosensory receptor neuron (ALRN)']"
720575940603925280,['DM4_medial']
720575940603974880,['DM3_lateral']
720575940603987390,['L4']
720575940603989420,"['LPLC2, lobula plate-lobula columnar neuron 2, FBbt_00111763']"
720575940604008160,"['AL local neuron, ALLN']"
720575940604038880,['Tm2: Transmedullary neuron 2; FBbt_00003790']
720575940604050110,"['Kenyon_cell, KC alpha beta, KC ab']"
720575940604058540,"['lobula columnar neuron LC21, FBbt_00111756']"
